,,PRIMARY,,,SECTORS,,,,,,,,,,,,,,INDICATORS,,,,,,,,ADMINISTRATIVE,,REFERENCE,,,,
#,Country,Present,Implementation,Type,Agriculture,Aquacult./Fisheries,Biodiversity,Coastal Zones,Energy,Forestry,Gender,Health,Industry,Tourism,Transportation,Urban Areas,Vulnerable People,Water,AQ,Diseases,Drought,EWE,Food,Heat Stress,SLR,Water Q,Comm. Freq.,Institution,Year,Primary Source,Additional Sources,Additional Sources,Notes
1,Afghanistan,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Albania,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Algeria,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Andorra,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Angola,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Antigua and Barbuda,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Argentina,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Armenia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Australia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Austria,Yes,Implemented,3,Yes,No data,No data,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No data,Yes,No data,Yes,No data,Yes,Yes,Yes,No data,Yes,5,"Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology",2021,2021 ANC,2021 Progress Report,,
11,Azerbaijan,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,The Bahamas,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bahrain,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bangladesh,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Barbados,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Belarus,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Belgium,Yes,Implemented,3,Yes,Yes,Yes,Yes,Yes,Yes,No data,Yes,Yes,Yes,Yes,Yes,No data,Yes,No data,Yes,Yes,Yes,No data,Yes,Yes,Yes,2,National Climate Commission,2017,2017 NAP,2018 EU,2017 NC7,
18,Belize,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Benin,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Bhutan,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Bolivia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Bosnia and Herzegovina,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Botswana,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Brazil,Yes,Implemented,3,Yes,Yes,Yes,Yes,Yes,Yes,No data,Yes,Yes,No data,Yes,Yes,Yes,Yes,No data,Yes,Yes,Yes,Yes,No data,Yes,Yes,1,Ministry of the Environment,2017,2017 NAP M&E,2018 Presentation,,Yes
25,Brunei,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Bulgaria,Yes,Implemented,3,Yes,Yes,Yes,No data,Yes,Yes,No data,Yes,No data,Yes,Yes,Yes,No data,Yes,No data,No data,No data,Yes,No data,Yes,No data,Yes,2,Coordination Council on Climate Change,2019,2019 NAP&S,,,
27,Burkina Faso,Yes,Implemented,1,Yes,No data,Yes,No data,Yes,No data,Yes,Yes,No data,No data,No data,Yes,No data,No data,No data,Yes,No data,Yes,No data,No data,No data,No data,5,"Ministry of Environment, Green Economy, and Climate Change",2021,2021 NAPGN M&E,2021 ANC,2015 NAP,Yes
28,Burundi,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Cabo Verde,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Cambodia,Yes,Implemented,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,National Council for Sustainable Development; Department of Climate Change,2020,2020 NDC,2017 GIZ,2017 NAP ,
31,Cameroon,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Canada,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
33,Central African Republic,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Chad,Yes,No data,No data,,,,,,,,,,,,,,,,,,,,,,,No data,AMCC,2019,2021 NAP,2019 Rapport,2017 M&E Database,Yes
35,Chile,Yes,Implemented,"1,3",Yes,Yes,Yes,No data,Yes,Yes,No data,Yes,No data,No data,Yes,Yes,No data,Yes,No data,No data,No data,No data,No data,No data,No data,No data,1,ETICC,2020,2020 Mon. Report,2017 NAP,,Yes
36,China,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Colombia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Comoros,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Congo,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Costa Rica,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Côte d'Ivoir,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Croatia,Yes,Planned,3,Yes,Yes,Yes,Yes,Yes,Yes,No data,Yes,No data,Yes,No data,No data,Yes,Yes,No data,Yes,Yes,Yes,No data,Yes,Yes,Yes,No data,Croatian Environment and Nature Agency,2017,2017 NAS Draft,,,
43,Cuba,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Cyprus,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Czech Republic,Yes,Implemented,1,Yes,No data,Yes,No,Yes,Yes,No data,Yes,No data,Yes,Yes,Yes,No data,Yes,No data,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No data,Ministry of Environment,2021,2021 NAP,,,
46,Denmark,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Djibouti,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Dominica,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Dominican Republic,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Democratic Republic of Congo,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Ecuador,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Egypt,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,El Salvador,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Equatorial Guinea,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Eritrea,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Estonia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Eswatini,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Ethiopia,Yes,No data,3,Yes,No data,Yes,No,Yes,Yes,Yes,Yes,Yes,No data,Yes,Yes,Yes,Yes,No data,No data,Yes,Yes,Yes,No data,No data,Yes,1,"Ministry of Environment, Forest and Climate Change; Ministry of Finance and Economic Cooperation",2019,2019 NAP,,,
59,Fiji,Yes,Planned,3,Yes,Yes,Yes,No data,No data,No data,No data,Yes,No data,No data,No data,Yes,No data,Yes,No data,Yes,No data,Yes,Yes,No data,No data,Yes,No data,Ministry of Economy CC and International Cooperation Division,2020,2020 NAPGN,,,
60,Finland,Yes,Planned,3,Yes,Yes,Yes,Yes,Yes,No data,No data,Yes,No data,Yes,Yes,Yes,No data,Yes,No data,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Ministry of Agriculture & Forestry,2020,2020 M&E,2014 NAP,,Yes
61,France,Yes,Implemented,3,Yes,Yes,Yes,Yes,Yes,Yes,No data,Yes,Yes,Yes,Yes,Yes,No data,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No data,General Council for the Environment and Sustainable Development,2018,2021 Evaluation,2019 IDDRI,,
62,Gabon,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Gambia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Georgia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Germany,Yes,Implemented,3,Yes,Yes,Yes,Yes,Yes,Yes,No data,Yes,Yes,Yes,Yes,Yes,No data,Yes,No data,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,Interministerial Working Group,2020,2020 Progress Report,2019 Mon. Report,2013 OECD,
66,Ghana,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Greece,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Grenada,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Guatemala,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Guinea,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Guinea-Bissau,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Guyana,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Haiti,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Honduras,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Hungary,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Iceland,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,India,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Indonesia,Yes,Implemented,1,Yes,No data,Yes,Yes,Yes,No data,No data,Yes,No data,No data,No data,Yes,No data,Yes,No data,Yes,Yes,No data,Yes,No data,Yes,Yes,1,Ministry of Environment and Forestry,2019,2019 NAP,2020 Registry,,Yes
79,Iran,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Iraq,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Ireland,Yes,Planned,3,Yes,Yes,Yes,Yes,No data,Yes,No data,Yes,No data,No data,Yes,No data,No data,Yes,Yes,Yes,No data,Yes,Yes,Yes,Yes,Yes,1,"Climate Change Advisory Council; Department for Communications, Climate Action & Environment",2021,2021 CAP + Annexes,2018 NAF,,
82,Israel,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Italy,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Jamaica,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Japan,Yes,Planned,2,Yes,Yes,Yes,Yes,No data,Yes,No data,Yes,Yes,Yes,No data,Yes,No data,Yes,No data,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No data,Multiple,2015,2015 NAP,,,Yes
86,Jordan,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Kazakhstan,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Kenya,Yes,Implemented,3,Yes,Yes,Yes,No data,Yes,No data,No data,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No data,Yes,Yes,Yes,No data,No data,No data,Yes,1,National Environment Management Authority,2016,2016 NAP,2019 NAPGN,,
89,Kiribati,Yes,Planned,No data,,,,,,,,,,,,,,,,,,,,,,,4,The office of Te Beretitenti,2018,2018 CC Policy,,,
90,Kosovo,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Kuwait,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Kyrgyzstan,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Laos,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Latvia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Lebanon,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Lesotho,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Liberia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Libya,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Liechtenstein,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Lithuania,Yes,Implemented,3,Yes,Yes,Yes,Yes,Yes,No data,No data,Yes,Yes,Yes,Yes,Yes,No data,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Ministry of the Environment,2019,2019 Report,2018 EU,Backup link for 1st doc,
101,Luxembourg,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Madagascar,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Malawi,Yes,Implemented,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No data,No data,No data,Yes,Yes,Yes,No data,Yes,No data,Yes,Yes,No data,No data,Yes,5,"Ministry of Natural Resources, Energy, and Mining: Environmental Affairs Department",2016,2016 M&E,,,
104,Malaysia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Maldives,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Mali,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Marshall Islands,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Malta,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Mauritania,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Mauritius,Yes,Implemented,2,Yes,Yes,Yes,Yes,No data,Yes,Yes,No data,No data,Yes,Yes,No data,No data,Yes,No data,No data,Yes,Yes,No data,No data,Yes,Yes,No data,Multiple,2012,2012 CAF,,,
111,Mexico,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Micronesia,No data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
